order_id,customer_id,order_date,payment_method,order_status,shipping_address
23,1003,2024-02-14 02:14:39,PayPal,Delivered,"6620 Garden Ln, Gdansk, Poland"
24,729,2024-10-15 00:49:31,credit card,Delivered,"5648 Park Blvd, Seattle, United States"
25,289,2023-11-26 17:26:36,credit card,Delivered,"9120 Pine St, Nice, France"
26,892,2022-06-02 17:45:06,credit card,Delivered,"8256 Lake Ln, Frankfurt, Germany"
27,454,2024-11-22 17:15:20,credit card,Delivered,"4556 Pine Blvd, Wroclaw, Poland"
28,654,2024-10-11 19:32:28,credit card,Delivered,"1043 Cedar Dr, Seattle, United States"
29,452,2023-12-02 08:02:38,Apple Pay,Cancelled,"5445 Hill Pl, Cologne, Germany"
30,456,2024-03-11 13:13:05,credit card,Delivered,"5004 Park Rd, Dresden, Germany"
31,582,2023-08-29 05:33:59,credit card,Delivered,"4189 Park Way, Chicago, United States"
32,641,2022-07-02 02:26:02,PayPal,Delivered,"9002 Birch Ln, Groningen, Netherlands"
33,1057,2023-04-19 22:06:39,PayPal,Delivered,"3089 Pine Rd, Nantes, France"
34,798,2022-09-23 10:24:01,credit card,Delivered,"1647 Garden Blvd, Birmingham, United Kingdom"
35,289,2022-06-29 05:40:47,Bank Transfer,Delivered,"488 Willow Pl, Los Angeles, United States"
36,948,2024-04-19 03:29:57,Bank Transfer,Delivered,"3082 Queen Ln, Krakow, Poland"
37,589,2024-07-21 18:32:07,credit card,Delivered,"1748 Garden Blvd, Malaga, Spain"
38,781,2024-04-08 22:43:05,credit card,Delivered,"8941 Sunset St, Los Angeles, United States"
39,243,2024-02-14 20:44:11,Apple Pay,Delivered,"528 Lake St, The Hague, Netherlands"
40,911,2024-05-06 16:14:32,Bank Transfer,Delivered,"1168 Sunset Dr, Groningen, Netherlands"
41,863,2023-05-02 03:15:12,PayPal,Delivered,"4611 Hill Ave, Berlin, Germany"
42,797,2024-07-03 00:55:04,credit card,Delivered,"4473 Birch Way, Utrecht, Netherlands"
43,218,2023-09-20 11:43:05,credit card,Delivered,"7662 Birch Pl, Eindhoven, Netherlands"
44,300,2023-04-02 15:45:58,PayPal,Delivered,"5805 Queen Pl, Chicago, United States"
45,1113,2022-08-08 05:24:19,credit card,Delivered,"484 Elm Ln, Dresden, Germany"
46,806,2023-06-17 03:39:41,credit card,Delivered,"452 Elm Blvd, Paris, France"
47,965,2022-10-11 03:24:57,PayPal,Delivered,"4070 Garden Ln, Hamburg, Germany"
48,556,2022-08-31 19:23:26,credit card,Delivered,"5656 King Dr, Houston, United States"
49,741,2024-08-20 23:32:53,Bank Transfer,Cancelled,"7208 Park Blvd, Wroclaw, Poland"
50,960,2023-09-15 19:05:47,Bank Transfer,Delivered,"4398 Elm Pl, New York, United States"
51,1137,2023-12-21 06:14:04,credit card,Delivered,"5672 Pine St, Eindhoven, Netherlands"
52,232,2023-12-03 03:38:10,Bank Transfer,Delivered,"3134 Cedar Rd, Frankfurt, Germany"
53,1169,2023-05-12 08:39:29,credit card,Delivered,"1774 Willow Dr, Toulouse, France"
54,428,2022-06-04 11:15:22,Bank Transfer,Delivered,"5623 Pine Dr, Berlin, Germany"
55,723,2023-06-16 01:17:28,credit card,Delivered,"9191 Queen Pl, New York, United States"
56,829,2023-02-17 12:10:04,credit card,Cancelled,"7413 Station Ln, Chicago, United States"
57,1061,2023-03-02 21:17:34,PayPal,Delivered,"2066 Garden St, Wroclaw, Poland"
58,354,2022-10-20 14:43:25,credit card,Delivered,"8590 Cedar Ln, Houston, United States"
59,622,2023-12-30 08:47:44,Apple Pay,Delivered,"6333 Sunset Ave, Malaga, Spain"
60,1104,2024-11-21 15:50:13,credit card,Delivered,"7914 River Dr, Dresden, Germany"
61,445,2024-06-08 02:44:46,credit card,Delivered,"9996 Willow Pl, Paris, France"
62,604,2024-12-12 08:59:19,PayPal,Delivered,"1947 Maple Ln, Seattle, United States"
63,1043,2022-07-01 18:08:41,credit card,Delivered,"3416 Station Rd, Hamburg, Germany"
64,958,2024-10-05 14:16:25,credit card,Delivered,"1395 Station Ave, Florence, Italy"
65,740,2023-01-11 18:54:55,PayPal,Delivered,"2422 River Blvd, Phoenix, United States"
66,360,2024-02-11 17:08:45,Bank Transfer,Delivered,"3920 Elm Way, Frankfurt, Germany"
67,946,2023-10-01 05:41:44,Apple Pay,Delivered,"7346 Willow St, Warsaw, Poland"
68,901,2023-06-30 03:17:18,Apple Pay,Delivered,"3084 Sunset Pl, Birmingham, United Kingdom"
69,316,2023-08-24 01:59:46,credit card,Delivered,"8031 Maple Ave, Marseille, France"
70,470,2024-01-21 04:57:43,PayPal,Delivered,"8121 Park Ln, Phoenix, United States"
71,969,2022-11-21 19:58:19,credit card,Delivered,"1845 Lake St, Nantes, France"
72,891,2022-07-12 12:50:15,PayPal,Delivered,"1805 Lake Ave, Nice, France"
73,686,2024-07-02 03:56:14,credit card,Delivered,"9082 Pine Pl, London, United Kingdom"
74,1084,2023-10-01 16:08:34,Apple Pay,Delivered,"2504 Pine Rd, Birmingham, United Kingdom"
75,371,2023-09-14 21:21:06,PayPal,Delivered,"1894 Elm Pl, Amsterdam, Netherlands"
76,1149,2024-01-30 02:26:51,Apple Pay,Delivered,"1667 Garden Rd, The Hague, Netherlands"
77,473,2024-11-14 17:55:10,Bank Transfer,Cancelled,"4345 Hill Dr, Leeds, United Kingdom"
78,458,2023-09-14 22:44:37,Apple Pay,Delivered,"6592 Birch Blvd, Phoenix, United States"
79,334,2023-08-31 22:08:16,Bank Transfer,Delivered,"3066 River Dr, Hamburg, Germany"
80,882,2024-10-24 05:03:12,credit card,Delivered,"5076 Park Pl, Warsaw, Poland"
81,921,2024-09-16 22:24:13,credit card,Delivered,"3076 Station Pl, Nantes, France"
82,947,2023-01-20 17:12:18,credit card,Delivered,"1260 Cedar Blvd, Liverpool, United Kingdom"
83,621,2022-04-19 07:23:52,credit card,Delivered,"2221 Lake Ave, Gdansk, Poland"
84,620,2023-12-13 15:56:45,PayPal,Delivered,"5442 Sunset St, Nice, France"
85,385,2023-05-04 04:31:16,PayPal,Delivered,"8979 Garden Blvd, Turin, Italy"
86,1128,2022-12-24 10:49:47,PayPal,Delivered,"4936 Lake St, Milan, Italy"
87,563,2023-03-29 13:07:48,Apple Pay,Delivered,"2448 Pine St, Phoenix, United States"
88,1154,2023-10-12 10:44:26,Apple Pay,Delivered,"3130 Lake Ave, Birmingham, United Kingdom"
89,806,2024-10-28 16:40:51,credit card,Delivered,"1899 Oak Way, Warsaw, Poland"
90,577,2023-06-12 18:47:10,credit card,Delivered,"7698 Pine Blvd, Paris, France"
91,722,2022-08-17 15:14:53,credit card,Delivered,"6692 Hill Pl, Milan, Italy"
92,779,2024-03-31 13:59:38,credit card,Delivered,"4504 Birch Rd, Malaga, Spain"
93,1090,2022-09-09 13:18:43,Bank Transfer,Delivered,"3950 High Blvd, Marseille, France"
94,921,2022-08-06 00:21:27,PayPal,Delivered,"8011 High Dr, Poznan, Poland"
95,395,2024-03-10 04:22:27,PayPal,Delivered,"7440 Birch Ave, Leeds, United Kingdom"
96,1080,2022-08-16 21:11:54,Apple Pay,Delivered,"17 Cedar Dr, London, United Kingdom"
97,297,2024-12-09 15:13:43,Bank Transfer,Delivered,"7960 Park Dr, Florence, Italy"
98,804,2022-09-12 16:23:01,credit card,Delivered,"6242 King Pl, Krakow, Poland"
99,1183,2022-10-11 04:14:38,PayPal,Delivered,"7907 Oak Ave, Leeds, United Kingdom"
100,221,2024-05-05 17:22:55,credit card,Delivered,"3023 Oak Dr, Lodz, Poland"
101,649,2024-03-02 07:44:26,credit card,Delivered,"1267 Sunset Ave, Chicago, United States"
102,371,2022-12-03 02:57:55,credit card,Delivered,"479 Lake Blvd, Nice, France"
103,582,2022-06-18 10:45:39,credit card,Cancelled,"4297 Birch Pl, Seattle, United States"
104,333,2022-05-22 12:58:35,credit card,Delivered,"3978 Elm Dr, Paris, France"
105,625,2024-12-19 19:32:19,credit card,Delivered,"6069 Willow Ln, Phoenix, United States"
106,224,2024-06-22 15:55:54,PayPal,Delivered,"4275 Main Blvd, Krakow, Poland"
107,702,2023-02-17 23:14:20,Bank Transfer,Delivered,"6414 Pine Pl, Berlin, Germany"
108,384,2022-12-26 18:27:15,credit card,Delivered,"7792 Garden Ave, Eindhoven, Netherlands"
109,284,2022-01-27 22:12:24,credit card,Delivered,"486 Oak St, Berlin, Germany"
110,766,2023-06-10 11:09:00,Bank Transfer,Delivered,"4674 Pine Blvd, Poznan, Poland"
111,962,2022-06-10 17:17:35,credit card,Delivered,"338 Willow Dr, Dresden, Germany"
112,343,2023-10-16 04:30:55,Apple Pay,Delivered,"9053 High Pl, Hamburg, Germany"
113,1062,2024-06-20 00:08:57,PayPal,Delivered,"6901 Birch Dr, Birmingham, United Kingdom"
114,1109,2023-02-05 19:47:49,credit card,Delivered,"2004 Oak Rd, Chicago, United States"
115,878,2023-07-31 04:08:06,credit card,Delivered,"1472 Queen St, Rotterdam, Netherlands"
116,611,2024-11-03 01:52:27,credit card,Delivered,"6728 Queen Ln, Lyon, France"
117,423,2022-05-13 23:07:37,credit card,Delivered,"2043 Main Ln, Gdansk, Poland"
118,419,2022-07-06 15:13:22,credit card,Delivered,"1520 King Pl, Toulouse, France"
119,378,2023-05-19 05:59:46,PayPal,Delivered,"6490 Elm Blvd, Bilbao, Spain"
120,830,2023-02-12 05:11:12,credit card,Delivered,"8894 River Blvd, Naples, Italy"
121,632,2022-11-16 04:23:40,PayPal,Delivered,"4389 Oak St, Birmingham, United Kingdom"
122,464,2024-06-18 17:37:16,PayPal,Delivered,"7857 Sunset St, Frankfurt, Germany"
123,1153,2022-08-25 13:55:05,credit card,Delivered,"9366 Oak Pl, Barcelona, Spain"
124,628,2022-12-06 18:02:03,credit card,Delivered,"1606 Station Rd, Paris, France"
125,861,2024-03-21 11:31:00,credit card,Cancelled,"5665 Oak Ave, London, United Kingdom"
126,615,2023-01-20 05:16:49,credit card,Delivered,"6940 Willow Ave, Poznan, Poland"
127,652,2022-12-24 08:57:33,PayPal,Delivered,"5118 Pine Blvd, Houston, United States"
128,926,2022-11-16 19:29:17,credit card,Cancelled,"5380 Queen Ave, Poznan, Poland"
129,396,2024-04-13 01:16:44,Bank Transfer,Delivered,"2125 Lake St, Wroclaw, Poland"
130,753,2022-08-23 06:08:47,credit card,Delivered,"4992 Pine Dr, Dresden, Germany"
131,252,2024-02-21 04:02:27,credit card,Delivered,"6795 Station Way, Cologne, Germany"
132,679,2023-05-07 14:30:38,PayPal,Delivered,"1447 Hill Blvd, London, United Kingdom"
133,642,2022-07-10 00:52:47,PayPal,Delivered,"3307 Sunset Blvd, Munich, Germany"
134,529,2023-03-30 06:26:40,credit card,Delivered,"2373 Hill Dr, Gdansk, Poland"
135,450,2023-10-23 21:26:40,credit card,Delivered,"151 Elm Ln, Krakow, Poland"
136,1006,2022-12-26 15:47:35,PayPal,Delivered,"1660 Main Way, Gdansk, Poland"
137,1089,2023-07-26 19:38:05,credit card,Delivered,"6140 Pine St, Liverpool, United Kingdom"
138,982,2024-12-30 08:52:13,credit card,Delivered,"9071 Main Ave, Warsaw, Poland"
139,1166,2023-05-09 03:54:52,PayPal,Delivered,"7200 Pine Blvd, Hamburg, Germany"
140,1124,2023-01-08 14:00:26,credit card,Delivered,"2320 Station Ln, Liverpool, United Kingdom"
141,322,2022-08-18 11:46:54,PayPal,Delivered,"2884 Elm Way, Cologne, Germany"
142,1078,2024-09-27 06:08:47,PayPal,Delivered,"7804 Pine Blvd, Frankfurt, Germany"
143,586,2023-04-09 04:16:15,PayPal,Delivered,"1516 Park Ln, Valencia, Spain"
144,538,2022-05-16 13:36:01,PayPal,Delivered,"590 Willow Pl, Manchester, United Kingdom"
145,977,2022-09-07 17:01:19,PayPal,Delivered,"588 Garden Ln, Madrid, Spain"
146,547,2022-04-16 03:36:10,PayPal,Cancelled,"2620 Station St, London, United Kingdom"
147,228,2023-04-06 22:07:03,Apple Pay,Delivered,"5488 Garden Ln, Bologna, Italy"
148,1174,2022-12-19 18:29:22,credit card,Delivered,"6224 Cedar Rd, Frankfurt, Germany"
149,234,2022-12-09 21:54:19,credit card,Delivered,"9388 Hill Ave, Houston, United States"
150,717,2023-09-16 11:04:51,Bank Transfer,Delivered,"4354 Cedar Rd, Leeds, United Kingdom"
151,595,2024-03-10 02:06:07,PayPal,Delivered,"2606 Hill Ln, Rome, Italy"
152,822,2024-03-19 13:44:45,credit card,Delivered,"2539 Birch Way, Leeds, United Kingdom"
153,493,2023-04-19 00:35:27,Apple Pay,Delivered,"8758 Birch Ln, Malaga, Spain"
154,788,2023-01-03 14:03:38,credit card,Delivered,"1757 Station Pl, Phoenix, United States"
155,548,2024-11-12 10:27:00,PayPal,Delivered,"1361 Hill St, New York, United States"
156,346,2023-07-29 19:02:08,Bank Transfer,Delivered,"2374 Pine Dr, Seville, Spain"
157,266,2024-01-23 02:17:34,Apple Pay,Cancelled,"1196 Hill St, Utrecht, Netherlands"
158,1103,2022-01-05 22:35:41,credit card,Delivered,"2132 Maple Way, Marseille, France"
159,719,2024-07-07 15:34:02,PayPal,Delivered,"8010 Elm Ln, Dresden, Germany"
160,321,2023-03-21 11:57:36,credit card,Cancelled,"5644 Willow Pl, Cologne, Germany"
161,539,2022-01-05 11:19:14,credit card,Delivered,"9760 Garden Dr, Hamburg, Germany"
162,374,2022-11-22 07:12:53,credit card,Delivered,"3411 Garden St, Poznan, Poland"
163,1099,2022-01-11 19:55:09,PayPal,Delivered,"2368 Cedar Ave, Krakow, Poland"
164,890,2024-03-16 11:40:42,credit card,Delivered,"3344 Elm St, Phoenix, United States"
165,796,2024-04-30 13:18:06,credit card,Delivered,"7282 Park Rd, Malaga, Spain"
166,650,2024-04-20 02:54:54,PayPal,Delivered,"3098 King Rd, Poznan, Poland"
167,756,2024-02-14 11:28:27,PayPal,Delivered,"9453 Oak Ln, Houston, United States"
168,335,2022-03-14 18:54:53,Bank Transfer,Delivered,"1334 Park St, Frankfurt, Germany"
169,1054,2022-07-08 23:41:10,Apple Pay,Delivered,"7166 Park Blvd, Naples, Italy"
170,215,2024-07-05 05:45:04,credit card,Delivered,"3337 Lake Ave, Warsaw, Poland"
171,532,2022-11-29 00:56:12,Apple Pay,Delivered,"8158 Park Dr, Houston, United States"
172,394,2022-07-29 18:19:41,Apple Pay,Delivered,"3085 Elm Blvd, Groningen, Netherlands"
173,695,2023-02-06 12:15:10,credit card,Delivered,"3388 Willow Rd, Cologne, Germany"
174,208,2022-04-13 17:20:06,credit card,Delivered,"4714 King St, Paris, France"
175,1027,2024-07-15 09:40:30,credit card,Delivered,"7806 Willow Way, Barcelona, Spain"
176,533,2023-07-23 04:15:47,credit card,Delivered,"5102 King Blvd, Lodz, Poland"
177,532,2023-10-15 17:07:53,PayPal,Delivered,"2432 Hill Rd, Amsterdam, Netherlands"
178,526,2023-01-30 12:44:29,PayPal,Delivered,"1017 Cedar Dr, Toulouse, France"
179,214,2023-12-25 23:35:27,PayPal,Delivered,"642 Oak Pl, Lodz, Poland"
180,1038,2024-05-26 06:56:45,PayPal,Delivered,"4063 Lake Blvd, Hamburg, Germany"
181,813,2022-12-19 13:37:59,credit card,Cancelled,"8508 Main Way, Houston, United States"
182,425,2022-10-30 20:45:44,Apple Pay,Delivered,"441 River Blvd, Madrid, Spain"
183,624,2024-02-03 19:05:25,credit card,Cancelled,"1139 Lake St, Wroclaw, Poland"
184,989,2023-07-14 23:41:31,Apple Pay,Cancelled,"9107 Birch Dr, Paris, France"
185,607,2023-07-12 18:34:04,credit card,Delivered,"5244 Sunset Ln, Frankfurt, Germany"
186,312,2022-07-19 03:08:45,Apple Pay,Delivered,"2304 Pine Ln, Lyon, France"
187,1196,2024-02-06 18:41:28,credit card,Delivered,"5951 Park Dr, Los Angeles, United States"
188,627,2023-05-04 09:49:39,credit card,Delivered,"7047 Garden Way, Liverpool, United Kingdom"
189,200,2024-11-21 23:58:45,credit card,Delivered,"6607 Maple Ave, New York, United States"
190,465,2023-01-07 06:48:55,PayPal,Delivered,"3422 Hill Rd, Barcelona, Spain"
191,690,2023-01-11 22:56:56,Apple Pay,Delivered,"2079 Hill St, Hamburg, Germany"
192,407,2024-03-07 23:42:10,credit card,Delivered,"6104 Cedar Dr, Nantes, France"
193,821,2022-11-26 12:25:37,Apple Pay,Delivered,"4151 Park Way, Gdansk, Poland"
194,911,2023-03-09 01:53:25,PayPal,Delivered,"2201 King Ave, Los Angeles, United States"
195,1151,2022-09-24 07:45:23,PayPal,Delivered,"4552 Queen Blvd, Paris, France"
196,568,2022-04-28 22:48:00,Bank Transfer,Delivered,"6430 Hill St, Liverpool, United Kingdom"
197,1184,2023-03-21 11:10:16,credit card,Delivered,"8228 King St, Marseille, France"
198,505,2023-10-19 06:50:48,credit card,Delivered,"9010 Station Blvd, Manchester, United Kingdom"
199,211,2022-07-10 04:25:28,Apple Pay,Delivered,"1947 Park Dr, Naples, Italy"
200,544,2024-12-27 13:08:38,Apple Pay,Delivered,"3957 Pine Way, Gdansk, Poland"
201,664,2022-04-30 16:04:20,Apple Pay,Delivered,"2226 Sunset Ave, Poznan, Poland"
202,899,2023-03-25 22:46:20,Apple Pay,Delivered,"7716 River Ln, Malaga, Spain"
203,865,2022-04-08 05:32:08,credit card,Delivered,"3326 King Way, Valencia, Spain"
204,693,2022-02-25 18:06:07,Bank Transfer,Delivered,"8700 Queen Ln, Liverpool, United Kingdom"
205,567,2023-06-25 07:14:52,credit card,Cancelled,"3746 Garden Rd, Rotterdam, Netherlands"
206,1045,2023-04-13 10:05:39,Apple Pay,Delivered,"8161 Birch Dr, Los Angeles, United States"
207,1136,2024-11-07 13:55:08,credit card,Delivered,"4815 Queen Rd, Groningen, Netherlands"
208,619,2024-12-27 18:23:10,PayPal,Delivered,"8652 River Dr, Manchester, United Kingdom"
209,1088,2022-09-07 02:38:56,PayPal,Delivered,"6104 Garden St, Warsaw, Poland"
210,990,2024-11-19 19:16:37,credit card,Delivered,"1406 River Ln, Liverpool, United Kingdom"
211,370,2022-11-13 23:30:10,credit card,Delivered,"6091 Birch Dr, Amsterdam, Netherlands"
212,333,2024-11-03 21:40:53,Apple Pay,Delivered,"7288 Sunset Pl, Dresden, Germany"
213,1164,2022-06-18 03:47:01,Bank Transfer,Delivered,"2037 Main Pl, Eindhoven, Netherlands"
214,626,2024-11-23 21:52:35,credit card,Delivered,"6035 Birch Pl, Toulouse, France"
215,224,2024-05-06 20:40:49,Bank Transfer,Delivered,"2678 Willow Ave, Birmingham, United Kingdom"
216,729,2023-06-21 05:13:12,PayPal,Delivered,"6145 River Way, Manchester, United Kingdom"
217,389,2024-06-20 00:41:53,credit card,Delivered,"1745 Pine Blvd, Houston, United States"
218,340,2022-09-22 19:13:06,credit card,Delivered,"9424 River Blvd, Los Angeles, United States"
219,754,2024-06-26 15:53:45,Apple Pay,Delivered,"1178 Birch Rd, Gdansk, Poland"
220,1045,2022-04-03 23:11:44,PayPal,Delivered,"762 Maple St, Rome, Italy"
221,995,2023-02-19 14:17:10,PayPal,Delivered,"4779 Lake Pl, Houston, United States"
222,857,2024-05-24 12:57:36,PayPal,Delivered,"6459 Pine Pl, Turin, Italy"
223,514,2023-01-11 06:51:06,credit card,Delivered,"5624 King Blvd, Phoenix, United States"
224,643,2022-09-11 12:42:32,credit card,Delivered,"4715 Queen Pl, Glasgow, United Kingdom"
225,518,2024-04-24 23:27:06,credit card,Delivered,"3727 Queen Blvd, Phoenix, United States"
226,640,2024-07-20 20:37:04,credit card,Cancelled,"9736 Elm St, Bilbao, Spain"
227,291,2024-04-13 13:25:26,PayPal,Delivered,"1934 Cedar Dr, Frankfurt, Germany"
228,378,2022-05-06 13:25:38,Apple Pay,Delivered,"3562 Lake Rd, The Hague, Netherlands"
229,255,2022-12-09 15:18:16,credit card,Delivered,"7180 Station Pl, Leeds, United Kingdom"
230,354,2023-08-29 15:12:55,credit card,Delivered,"4445 Oak Blvd, The Hague, Netherlands"
231,871,2022-04-01 00:10:04,PayPal,Delivered,"2965 Cedar Pl, Malaga, Spain"
232,310,2022-04-28 05:47:58,Apple Pay,Delivered,"9223 Elm Pl, Nantes, France"
233,336,2022-04-25 13:17:22,PayPal,Delivered,"7225 Station Way, Glasgow, United Kingdom"
234,431,2022-01-12 23:31:48,Apple Pay,Delivered,"8782 Main Dr, Chicago, United States"
235,1191,2023-01-10 03:01:10,PayPal,Delivered,"3102 Garden Pl, Seville, Spain"
236,667,2024-09-03 10:34:05,Bank Transfer,Delivered,"3898 Willow Pl, Liverpool, United Kingdom"
237,931,2024-10-27 14:00:51,credit card,Delivered,"3679 Main Ln, Marseille, France"
238,680,2022-01-25 00:10:42,credit card,Delivered,"1844 Lake Ln, Lyon, France"
239,267,2024-02-10 10:07:04,credit card,Delivered,"1939 Station Pl, Glasgow, United Kingdom"
240,1013,2023-06-07 16:00:40,PayPal,Delivered,"8445 Lake Ln, London, United Kingdom"
241,448,2023-10-04 20:03:37,Apple Pay,Delivered,"7867 Main Ave, Poznan, Poland"
242,1193,2022-07-19 21:37:05,Apple Pay,Delivered,"7084 River Blvd, Frankfurt, Germany"
243,522,2024-12-11 02:14:46,credit card,Shipped,"5373 Hill Way, Florence, Italy"
244,1121,2022-07-31 22:30:46,credit card,Delivered,"1467 Sunset Ave, Barcelona, Spain"
245,1103,2024-11-12 18:54:50,credit card,Delivered,"736 Elm Rd, Gdansk, Poland"
246,717,2024-12-24 09:48:04,credit card,Delivered,"340 Lake Dr, Seville, Spain"
247,1175,2022-09-15 06:32:47,PayPal,Delivered,"1377 Elm Blvd, Krakow, Poland"
248,991,2024-03-08 03:59:23,Apple Pay,Delivered,"4720 Pine Dr, Liverpool, United Kingdom"
249,631,2023-06-22 03:50:50,Apple Pay,Delivered,"705 King Way, Krakow, Poland"
250,686,2023-09-22 01:41:06,PayPal,Delivered,"3725 Garden Pl, Rotterdam, Netherlands"
251,805,2024-08-11 13:12:31,Bank Transfer,Delivered,"8190 King St, Utrecht, Netherlands"
252,628,2023-04-14 01:37:20,PayPal,Delivered,"4419 Birch Dr, Phoenix, United States"
253,468,2024-08-24 09:28:05,credit card,Delivered,"5260 Queen St, Frankfurt, Germany"
254,908,2024-11-23 05:28:03,PayPal,Delivered,"9661 Queen Pl, Glasgow, United Kingdom"
255,736,2022-08-02 10:11:12,PayPal,Delivered,"553 Maple Way, Nice, France"
256,347,2024-01-16 18:06:42,PayPal,Delivered,"3492 River Dr, Frankfurt, Germany"
257,317,2023-07-22 07:36:40,credit card,Cancelled,"790 King Blvd, Leeds, United Kingdom"
258,1049,2023-10-06 23:45:16,credit card,Delivered,"1174 High Blvd, Paris, France"
259,566,2023-05-15 17:47:19,credit card,Delivered,"553 Hill Dr, Dresden, Germany"
260,1049,2023-11-18 02:58:22,Apple Pay,Delivered,"3423 High St, Krakow, Poland"
261,265,2023-03-15 09:34:34,credit card,Delivered,"4212 Queen Way, London, United Kingdom"
262,1169,2023-11-25 11:12:43,Bank Transfer,Delivered,"8824 Queen Rd, Toulouse, France"
263,1012,2024-02-14 02:05:33,Bank Transfer,Delivered,"270 Main Rd, The Hague, Netherlands"
264,569,2023-02-26 14:22:24,credit card,Delivered,"861 Garden St, Wroclaw, Poland"
265,374,2022-05-25 17:49:11,PayPal,Delivered,"291 Queen St, Liverpool, United Kingdom"
266,1030,2023-04-14 06:19:30,Apple Pay,Delivered,"9650 Pine Dr, Liverpool, United Kingdom"
267,787,2023-06-04 21:54:07,credit card,Delivered,"5871 Elm Pl, Cologne, Germany"
268,694,2022-06-01 00:49:13,Apple Pay,Delivered,"630 Willow St, New York, United States"
269,1172,2023-04-13 06:19:15,credit card,Delivered,"7008 Hill Dr, Krakow, Poland"
270,313,2023-07-08 10:59:09,credit card,Cancelled,"5944 Sunset Blvd, Hamburg, Germany"
271,310,2024-04-10 21:04:44,Apple Pay,Delivered,"475 Main Way, Marseille, France"
272,960,2023-02-14 02:33:15,Bank Transfer,Delivered,"4633 Sunset Dr, Liverpool, United Kingdom"
273,638,2024-09-05 07:10:02,Apple Pay,Delivered,"4081 Hill Dr, Rotterdam, Netherlands"
274,914,2023-06-17 10:51:41,PayPal,Delivered,"1761 Hill Ave, Frankfurt, Germany"
275,346,2024-01-15 00:23:45,Apple Pay,Delivered,"4709 High St, Leeds, United Kingdom"
276,234,2023-07-08 09:42:03,Bank Transfer,Delivered,"6921 Garden St, Frankfurt, Germany"
277,1198,2022-11-17 05:45:08,Bank Transfer,Delivered,"3399 Park Blvd, Dresden, Germany"
278,508,2024-08-13 03:15:10,PayPal,Delivered,"3562 Pine St, Naples, Italy"
279,737,2023-01-02 14:23:15,credit card,Delivered,"3845 Maple Blvd, Marseille, France"
280,949,2024-03-07 10:14:48,Apple Pay,Delivered,"3805 Birch St, Dresden, Germany"
281,213,2022-05-16 07:17:31,credit card,Delivered,"9817 Elm Blvd, Seattle, United States"
282,573,2024-09-11 15:00:40,PayPal,Cancelled,"1509 Elm Pl, Rotterdam, Netherlands"
283,756,2022-10-14 23:15:22,credit card,Delivered,"4111 Cedar Blvd, Warsaw, Poland"
284,627,2024-11-12 05:59:27,PayPal,Delivered,"4854 Main Ln, Dresden, Germany"
285,927,2024-06-13 04:40:40,credit card,Delivered,"6832 Park Rd, Warsaw, Poland"
286,432,2024-02-26 18:25:02,credit card,Delivered,"8196 Cedar Rd, Barcelona, Spain"
287,904,2023-02-05 14:31:52,Apple Pay,Delivered,"3448 River Ave, Lodz, Poland"
